2020-04-18 18:39:54 | INFO | com.xnpool.setting.SettingApplication | logStartupProfileInfo:655 | The following profiles are active: test
2020-04-18 18:39:58 | INFO | org.springframework.cloud.context.scope.GenericScope | setSerializationId:294 | BeanFactory id=7b5e3f9b-7929-32c1-8aec-9eca46cb9284
2020-04-18 18:39:59 | INFO | org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker | postProcessAfterInitialization:330 | Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a1b9d10f] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-04-18 18:40:00 | INFO | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | initialize:92 | Tomcat initialized with port(s): 8766 (http)
2020-04-18 18:40:00 | INFO | org.apache.coyote.http11.Http11NioProtocol | log:173 | Initializing ProtocolHandler ["http-nio-8766"]
2020-04-18 18:40:00 | INFO | org.apache.catalina.core.StandardService | log:173 | Starting service [Tomcat]
2020-04-18 18:40:00 | INFO | org.apache.catalina.core.StandardEngine | log:173 | Starting Servlet engine: [Apache Tomcat/9.0.31]
2020-04-18 18:40:00 | INFO | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/setting] | log:173 | Initializing Spring embedded WebApplicationContext
2020-04-18 18:40:00 | INFO | org.springframework.web.context.ContextLoader | prepareWebApplicationContext:284 | Root WebApplicationContext: initialization completed in 5713 ms
2020-04-18 18:40:01 | INFO | com.xnpool.setting.config.RedisConfig | redisPoolFactory:47 | JedisPool注入成功！！
2020-04-18 18:40:01 | INFO | com.xnpool.setting.config.RedisConfig | redisPoolFactory:48 | redis地址：127.0.0.1:6379
2020-04-18 18:40:01 | INFO | com.alibaba.druid.spring.boot.autoconfigure.DruidDataSourceAutoConfigure | dataSource:56 | Init DruidDataSource
2020-04-18 18:40:02 | INFO | com.alibaba.druid.pool.DruidDataSource | init:928 | {dataSource-1} inited
2020-04-18 18:40:04 | INFO | org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer | startServer:58 | LiveReload server is running on port 35729
2020-04-18 18:40:05 | INFO | com.netflix.config.sources.URLConfigurationSource | <init>:122 | To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-04-18 18:40:05 | INFO | com.netflix.config.sources.URLConfigurationSource | <init>:122 | To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-04-18 18:40:05 | INFO | org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor | initialize:181 | Initializing ExecutorService 'applicationTaskExecutor'
2020-04-18 18:40:09 | INFO | org.springframework.cloud.netflix.eureka.InstanceInfoFactory | create:71 | Setting initial instance status as: STARTING
2020-04-18 18:40:09 | INFO | com.netflix.discovery.DiscoveryClient | <init>:349 | Initializing Eureka in region us-east-1
2020-04-18 18:40:09 | INFO | com.netflix.discovery.provider.DiscoveryJerseyProvider | <init>:70 | Using JSON encoding codec LegacyJacksonJson
2020-04-18 18:40:09 | INFO | com.netflix.discovery.provider.DiscoveryJerseyProvider | <init>:71 | Using JSON decoding codec LegacyJacksonJson
2020-04-18 18:40:10 | INFO | com.netflix.discovery.provider.DiscoveryJerseyProvider | <init>:80 | Using XML encoding codec XStreamXml
2020-04-18 18:40:10 | INFO | com.netflix.discovery.provider.DiscoveryJerseyProvider | <init>:81 | Using XML decoding codec XStreamXml
2020-04-18 18:40:11 | INFO | com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver | getClusterEndpoints:43 | Resolving eureka endpoints via configuration
2020-04-18 18:40:12 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:958 | Disable delta property : false
2020-04-18 18:40:12 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:959 | Single vip registry refresh property : null
2020-04-18 18:40:12 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:960 | Force full registry fetch : false
2020-04-18 18:40:12 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:961 | Application is null : false
2020-04-18 18:40:12 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:962 | Registered Applications size is zero : true
2020-04-18 18:40:12 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:964 | Application version is -1: true
2020-04-18 18:40:12 | INFO | com.netflix.discovery.DiscoveryClient | getAndStoreFullRegistry:1047 | Getting all instance registry info from the eureka server
2020-04-18 18:40:12 | INFO | com.netflix.discovery.DiscoveryClient | getAndStoreFullRegistry:1056 | The response status is 200
2020-04-18 18:40:12 | INFO | com.netflix.discovery.DiscoveryClient | initScheduledTasks:1264 | Starting heartbeat executor: renew interval is: 10
2020-04-18 18:40:12 | INFO | com.netflix.discovery.InstanceInfoReplicator | <init>:60 | InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-04-18 18:40:12 | INFO | com.netflix.discovery.DiscoveryClient | <init>:449 | Discovery Client initialized at timestamp 1587206412949 with initial instances count: 0
2020-04-18 18:40:12 | INFO | org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry | register:42 | Registering application mine-setting-api with eureka with status UP
2020-04-18 18:40:12 | INFO | com.netflix.discovery.DiscoveryClient | notify:1299 | Saw local status change event StatusChangeEvent [timestamp=1587206412956, current=UP, previous=STARTING]
2020-04-18 18:40:12 | INFO | com.netflix.discovery.DiscoveryClient | register:826 | DiscoveryClient_MINE-SETTING-API/192.168.17.1:mine-setting-api:8766: registering service...
2020-04-18 18:40:12 | INFO | org.apache.coyote.http11.Http11NioProtocol | log:173 | Starting ProtocolHandler ["http-nio-8766"]
2020-04-18 18:40:13 | INFO | org.springframework.boot.web.embedded.tomcat.TomcatWebServer | start:204 | Tomcat started on port(s): 8766 (http) with context path '/setting'
2020-04-18 18:40:13 | INFO | com.xnpool.setting.SettingApplication | logStarted:61 | Started SettingApplication in 24.691 seconds (JVM running for 33.692)
2020-04-18 18:40:13 | INFO | com.netflix.discovery.DiscoveryClient | register:835 | DiscoveryClient_MINE-SETTING-API/192.168.17.1:mine-setting-api:8766 - registration status: 204
2020-04-18 18:40:17 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:958 | Disable delta property : false
2020-04-18 18:40:17 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:959 | Single vip registry refresh property : null
2020-04-18 18:40:17 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:960 | Force full registry fetch : false
2020-04-18 18:40:17 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:961 | Application is null : false
2020-04-18 18:40:17 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:962 | Registered Applications size is zero : true
2020-04-18 18:40:17 | INFO | com.netflix.discovery.DiscoveryClient | fetchRegistry:964 | Application version is -1: false
2020-04-18 18:40:17 | INFO | com.netflix.discovery.DiscoveryClient | getAndStoreFullRegistry:1047 | Getting all instance registry info from the eureka server
2020-04-18 18:40:18 | INFO | com.netflix.discovery.DiscoveryClient | getAndStoreFullRegistry:1056 | The response status is 200
2020-04-18 18:45:12 | INFO | com.netflix.discovery.shared.resolver.aws.ConfigClusterResolver | getClusterEndpoints:43 | Resolving eureka endpoints via configuration
2020-04-18 18:45:46 | INFO | org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/setting] | log:173 | Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-18 18:45:46 | INFO | org.springframework.web.servlet.DispatcherServlet | initServletBean:525 | Initializing Servlet 'dispatcherServlet'
2020-04-18 18:45:46 | INFO | org.springframework.web.servlet.DispatcherServlet | initServletBean:547 | Completed initialization in 38 ms
2020-04-18 18:46:17 | INFO | com.xnpool.setting.service.impl.WorkerAssignServiceImpl | addAssignWorker:403 | 入缓存的workerAssigns_db:[WorkerAssign(id=1569, userId=2, mineId=84, factoryId=54, frameId=32683, createTime=Sat Apr 18 18:46:17 CST 2020, updateTime=Sat Apr 18 18:46:17 CST 2020, isDel=0)]
2020-04-18 18:46:19 | INFO | com.netflix.config.ChainedDynamicProperty | checkAndFlip:115 | Flipping property: user-center.ribbon.ActiveConnectionsLimit to use NEXT property: niws.loadbalancer.availabilityFilteringRule.activeConnectionsLimit = 2147483647
2020-04-18 18:46:19 | INFO | com.netflix.util.concurrent.ShutdownEnabledTimer | <init>:58 | Shutdown hook installed for: NFLoadBalancer-PingTimer-user-center
2020-04-18 18:46:19 | INFO | com.netflix.loadbalancer.BaseLoadBalancer | initWithConfig:192 | Client: user-center instantiated a LoadBalancer: DynamicServerListLoadBalancer:{NFLoadBalancer:name=user-center,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:null
2020-04-18 18:46:19 | INFO | com.netflix.loadbalancer.DynamicServerListLoadBalancer | enableAndInitLearnNewServersFeature:222 | Using serverListUpdater PollingServerListUpdater
2020-04-18 18:46:19 | INFO | com.netflix.loadbalancer.DynamicServerListLoadBalancer | restOfInit:150 | DynamicServerListLoadBalancer for client user-center initialized: DynamicServerListLoadBalancer:{NFLoadBalancer:name=user-center,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:org.springframework.cloud.netflix.ribbon.eureka.DomainExtractingServerList@435a34ce
2020-04-18 18:47:07 | INFO | com.netflix.loadbalancer.PollingServerListUpdater | run:53 | Shutting down the Executor Pool for PollingServerListUpdater
2020-04-18 18:47:07 | INFO | org.springframework.cloud.netflix.eureka.serviceregistry.EurekaServiceRegistry | deregister:65 | Unregistering application mine-setting-api with eureka with status DOWN
2020-04-18 18:47:07 | INFO | com.netflix.discovery.DiscoveryClient | register:826 | DiscoveryClient_MINE-SETTING-API/192.168.17.1:mine-setting-api:8766: registering service...
2020-04-18 18:47:07 | INFO | com.netflix.discovery.DiscoveryClient | shutdown:888 | Shutting down DiscoveryClient ...
2020-04-18 18:47:07 | INFO | com.netflix.discovery.DiscoveryClient | register:835 | DiscoveryClient_MINE-SETTING-API/192.168.17.1:mine-setting-api:8766 - registration status: 204
2020-04-18 18:47:07 | INFO | com.netflix.discovery.DiscoveryClient | unregister:922 | Unregistering ...
2020-04-18 18:47:07 | INFO | com.netflix.discovery.DiscoveryClient | unregister:924 | DiscoveryClient_MINE-SETTING-API/192.168.17.1:mine-setting-api:8766 - deregister  status: 200
2020-04-18 18:47:07 | INFO | com.netflix.discovery.DiscoveryClient | shutdown:911 | Completed shut down of DiscoveryClient
2020-04-18 18:47:07 | INFO | org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor | shutdown:218 | Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-18 18:47:07 | INFO | com.netflix.util.concurrent.ShutdownEnabledTimer | cancel:67 | Shutdown hook removed for: NFLoadBalancer-PingTimer-user-center
2020-04-18 18:47:07 | INFO | com.netflix.util.concurrent.ShutdownEnabledTimer | cancel:72 | Exception caught (might be ok if at shutdown)
java.lang.IllegalStateException: Shutdown in progress
	at java.lang.ApplicationShutdownHooks.remove(ApplicationShutdownHooks.java:82)
	at java.lang.Runtime.removeShutdownHook(Runtime.java:239)
	at com.netflix.util.concurrent.ShutdownEnabledTimer.cancel(ShutdownEnabledTimer.java:70)
	at com.netflix.loadbalancer.BaseLoadBalancer.cancelPingTask(BaseLoadBalancer.java:613)
	at com.netflix.loadbalancer.BaseLoadBalancer.shutdown(BaseLoadBalancer.java:864)
	at com.netflix.loadbalancer.DynamicServerListLoadBalancer.shutdown(DynamicServerListLoadBalancer.java:285)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
	at sun.reflect.DelegatingMethodAccessorImpl.__invoke(DelegatingMethodAccessorImpl.java:43)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:45009)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:45012)
	at java.lang.reflect.Method.invoke(Method.java:498)
